n2.name
jest-cli
yargs
yargs-parser
decamelize
xregexp
@babel/runtime-corejs2
regenerator-runtime
core-js
camelcase
y18n
which-module
string-width
strip-ansi
ansi-regex
is-fullwidth-code-point
emoji-regex
set-blocking
require-main-filename
require-directory
get-caller-file
find-up
path-exists
locate-path
p-locate
p-limit
p-try
cliui
wrap-ansi
ansi-styles
color-convert
color-name
realpath-native
util.promisify
object.getownpropertydescriptors
define-properties
object-keys
es-abstract
es-to-primitive
is-callable
is-date-object
is-symbol
has-symbols
function-bind
has
is-regex
object-inspect
string.prototype.trimleft
string.prototype.trimright
prompts
kleur
sisteransi
jest-validate
@jest/types
@types/istanbul-lib-coverage
@types/istanbul-reports
@types/istanbul-lib-report
@types/yargs
@types/yargs-parser
chalk
supports-color
has-flag
escape-string-regexp
jest-get-type
leven
pretty-format
react-is
jest-util
@jest/console
@jest/source-map
callsites
graceful-fs
source-map
slash
@jest/fake-timers
jest-message-util
@babel/code-frame
@babel/highlight
esutils
js-tokens
@jest/test-result
@types/stack-utils
micromatch
picomatch
braces
fill-range
to-regex-range
is-number
stack-utils
jest-mock
is-ci
ci-info
mkdirp
minimist
jest-config
@babel/core
semver
resolve
path-parse
lodash
json5
debug
ms
convert-source-map
safe-buffer
@babel/types
to-fast-properties
@babel/traverse
globals
type-fest
@babel/parser
@babel/helper-split-export-declaration
@babel/helper-function-name
@babel/helper-get-function-arity
@babel/template
@babel/generator
trim-right
jsesc
@babel/helpers
@jest/test-sequencer
jest-haste-map
anymatch
normalize-path
fb-watchman
bser
node-int64
invariant
loose-envify
jest-serializer
jest-worker
merge-stream
sane
@cnakazawa/watch
exec-sh
capture-exit
rsvp
execa
strip-final-newline
signal-exit
p-finally
onetime
mimic-fn
npm-run-path
path-key
is-stream
get-stream
pump
once
wrappy
end-of-stream
cross-spawn
which
isexe
shebang-command
shebang-regex
walker
makeerror
tmpl
fsevents
jest-runner
@jest/environment
@jest/transform
babel-plugin-istanbul
test-exclude
glob
path-is-absolute
minimatch
brace-expansion
balanced-match
concat-map
inherits
inflight
fs.realpath
read-pkg-up
read-pkg
parse-json
error-ex
is-arrayish
json-parse-better-errors
lines-and-columns
normalize-package-data
hosted-git-info
lru-cache
yallist
validate-npm-package-license
spdx-correct
spdx-expression-parse
spdx-exceptions
spdx-license-ids
@types/normalize-package-data
istanbul-lib-instrument
istanbul-lib-coverage
@babel/helper-plugin-utils
fast-json-stable-stringify
jest-regex-util
pirates
node-modules-regexp
write-file-atomic
typedarray-to-buffer
is-typedarray
imurmurhash
exit
babel-jest
babel-preset-jest
@babel/plugin-syntax-object-rest-spread
babel-plugin-jest-hoist
@types/babel__traverse
@types/babel__core
@types/babel__generator
@types/babel__template
jest-environment-jsdom
jsdom
xml-name-validator
ws
async-limiter
whatwg-url
lodash.sortby
tr46
punycode
webidl-conversions
whatwg-mimetype
whatwg-encoding
iconv-lite
safer-buffer
w3c-xmlserializer
domexception
w3c-hr-time
browser-process-hrtime
tough-cookie
psl
ip-regex
symbol-tree
saxes
xmlchars
request-promise-native
stealthy-require
request-promise-core
request
uuid
tunnel-agent
qs
performance-now
oauth-sign
mime-types
mime-db
json-stringify-safe
isstream
http-signature
assert-plus
jsprim
extsprintf
json-schema
verror
core-util-is
sshpk
asn1
dashdash
getpass
jsbn
tweetnacl
ecc-jsbn
bcrypt-pbkdf
har-validator
ajv
uri-js
json-schema-traverse
fast-deep-equal
har-schema
form-data
combined-stream
delayed-stream
asynckit
forever-agent
extend
caseless
aws4
aws-sign2
pn
parse5
nwsapi
html-encoding-sniffer
escodegen
optionator
prelude-ls
deep-is
wordwrap
type-check
levn
fast-levenshtein
esprima
estraverse
data-urls
abab
cssstyle
cssom
array-equal
acorn-globals
acorn
acorn-walk
jest-environment-node
jest-jasmine2
co
expect
jest-matcher-utils
jest-diff
diff-sequences
is-generator-fn
jest-each
jest-runtime
jest-resolve
browser-resolve
jest-pnp-resolver
jest-snapshot
natural-compare
strip-bom
throat
jest-docblock
detect-newline
jest-leak-detector
source-map-support
buffer-from
import-local
pkg-dir
resolve-cwd
resolve-from
@jest/core
@jest/reporters
istanbul-lib-report
make-dir
istanbul-lib-source-maps
rimraf
istanbul-reports
handlebars
uglify-js
commander
optimist
neo-async
node-notifier
shellwords
is-wsl
growly
string-length
astral-regex
ansi-escapes
jest-changed-files
jest-resolve-dependencies
jest-watcher
p-each-series
