n2.name
v8-compile-cache
text-table
table
ajv
uri-js
punycode
json-schema-traverse
fast-json-stable-stringify
fast-deep-equal
lodash
slice-ansi
ansi-styles
color-convert
color-name
astral-regex
is-fullwidth-code-point
string-width
strip-ansi
ansi-regex
emoji-regex
strip-json-comments
semver
regexpp
progress
optionator
prelude-ls
deep-is
wordwrap
type-check
levn
fast-levenshtein
natural-compare
mkdirp
minimist
minimatch
brace-expansion
balanced-match
concat-map
json-stable-stringify-without-jsonify
js-yaml
esprima
argparse
sprintf-js
is-glob
is-extglob
inquirer
through
rxjs
tslib
run-async
is-promise
mute-stream
figures
escape-string-regexp
external-editor
chardet
iconv-lite
safer-buffer
tmp
rimraf
glob
path-is-absolute
once
wrappy
inherits
inflight
fs.realpath
cli-width
cli-cursor
restore-cursor
onetime
mimic-fn
signal-exit
chalk
supports-color
has-flag
ansi-escapes
type-fest
imurmurhash
import-fresh
parent-module
callsites
resolve-from
ignore
globals
glob-parent
functional-red-black-tree
file-entry-cache
flat-cache
flatted
write
add-filename-increment
strip-filename-increment
esutils
esquery
estraverse
espree
eslint-visitor-keys
acorn-jsx
acorn
eslint-utils
eslint-scope
esrecurse
doctrine
debug
ms
cross-spawn
which
isexe
shebang-command
shebang-regex
path-key
@babel/code-frame
@babel/highlight
js-tokens
