name,url,reposOwned
watson-developer-cloud,https://github.com/watson-developer-cloud,10
yahoo,https://github.com/yahoo,10
FormstoneClassic,https://github.com/FormstoneClassic,9
GitbookIO,https://github.com/GitbookIO,9
Esri,https://github.com/Esri,9
FGRibreau,https://github.com/FGRibreau,9
Khan,https://github.com/Khan,9
ReactTraining,https://github.com/ReactTraining,9
acdlite,https://github.com/acdlite,9
antvis,https://github.com/antvis,9
brianc,https://github.com/brianc,9
chenglou,https://github.com/chenglou,9
creationix,https://github.com/creationix,9
ctrlplusb,https://github.com/ctrlplusb,9
dylang,https://github.com/dylang,9
electrode-io,https://github.com/electrode-io,9
electron,https://github.com/electron,9
gre,https://github.com/gre,9
harthur,https://github.com/harthur,9
ionic-team,https://github.com/ionic-team,9
jonschlinkert,https://github.com/jonschlinkert,9
karma-runner,https://github.com/karma-runner,9
kevva,https://github.com/kevva,9
klaussinani,https://github.com/klaussinani,9
lukechilds,https://github.com/lukechilds,9
mscdex,https://github.com/mscdex,9
netlify,https://github.com/netlify,9
nodejs,https://github.com/nodejs,9
nodemailer,https://github.com/nodemailer,9
oliviertassinari,https://github.com/oliviertassinari,9
outmoded,https://github.com/outmoded,9
phodal,https://github.com/phodal,9
plotly,https://github.com/plotly,9
posva,https://github.com/posva,9
remy,https://github.com/remy,9
ruanyf,https://github.com/ruanyf,9
rvagg,https://github.com/rvagg,9
shama,https://github.com/shama,9
siddharthkp,https://github.com/siddharthkp,9
smooth-code,https://github.com/smooth-code,9
testing-library,https://github.com/testing-library,9
wechat-miniprogram,https://github.com/wechat-miniprogram,9
yoshuawuyts,https://github.com/yoshuawuyts,9
zenorocha,https://github.com/zenorocha,9
GianlucaGuarini,https://github.com/GianlucaGuarini,8
GoogleChrome,https://github.com/GoogleChrome,8
IjzerenHein,https://github.com/IjzerenHein,8
Marak,https://github.com/Marak,8
Raynos,https://github.com/Raynos,8
STRML,https://github.com/STRML,8
Shopify,https://github.com/Shopify,8
Tencent,https://github.com/Tencent,8
bbc,https://github.com/bbc,8
ben-eb,https://github.com/ben-eb,8
btholt,https://github.com/btholt,8
calvinmetcalf,https://github.com/calvinmetcalf,8
cferdinandi,https://github.com/cferdinandi,8
cloudflare,https://github.com/cloudflare,8
dai-shi,https://github.com/dai-shi,8
dollarshaveclub,https://github.com/dollarshaveclub,8
ericclemmons,https://github.com/ericclemmons,8
felixge,https://github.com/felixge,8
felixrieseberg,https://github.com/felixrieseberg,8
freeCodeCamp,https://github.com/freeCodeCamp,8
ggomaeng,https://github.com/ggomaeng,8
hexojs,https://github.com/hexojs,8
ipfs-shipyard,https://github.com/ipfs-shipyard,8
jed,https://github.com/jed,8
jlongster,https://github.com/jlongster,8
leancloud,https://github.com/leancloud,8
lelandrichardson,https://github.com/lelandrichardson,8
marionettejs,https://github.com/marionettejs,8
mbostock,https://github.com/mbostock,8
mgechev,https://github.com/mgechev,8
nodejitsu,https://github.com/nodejitsu,8
petehunt,https://github.com/petehunt,8
philipwalton,https://github.com/philipwalton,8
pouchdb-community,https://github.com/pouchdb-community,8
romannurik,https://github.com/romannurik,8
spatie,https://github.com/spatie,8
staltz,https://github.com/staltz,8
storybookjs,https://github.com/storybookjs,8
tencentyun,https://github.com/tencentyun,8
toddmotto,https://github.com/toddmotto,8
trufflesuite,https://github.com/trufflesuite,8
udacity,https://github.com/udacity,8
vitalets,https://github.com/vitalets,8
watson,https://github.com/watson,8
wooorm,https://github.com/wooorm,8
zalmoxisus,https://github.com/zalmoxisus,8
FE-star,https://github.com/FE-star,7
DockYard,https://github.com/DockYard,7
DIYgod,https://github.com/DIYgod,7
ConsenSys,https://github.com/ConsenSys,7
Akryum,https://github.com/Akryum,7
LLK,https://github.com/LLK,7
Leaflet,https://github.com/Leaflet,7
LearnBoost,https://github.com/LearnBoost,7
LekoArts,https://github.com/LekoArts,7
Level,https://github.com/Level,7
Reactive-Extensions,https://github.com/Reactive-Extensions,7
Yomguithereal,https://github.com/Yomguithereal,7
adopted-ember-addons,https://github.com/adopted-ember-addons,7
appleple,https://github.com/appleple,7
atlassian,https://github.com/atlassian,7
auth0-blog,https://github.com/auth0-blog,7
blueimp,https://github.com/blueimp,7
codemix,https://github.com/codemix,7
component,https://github.com/component,7
contra,https://github.com/contra,7
crcn,https://github.com/crcn,7
cujojs,https://github.com/cujojs,7
emberjs,https://github.com/emberjs,7
erikras,https://github.com/erikras,7
ethereum,https://github.com/ethereum,7
f,https://github.com/f,7
fastify,https://github.com/fastify,7
feathersjs-ecosystem,https://github.com/feathersjs-ecosystem,7
firebase,https://github.com/firebase,7
godaddy,https://github.com/godaddy,7
googleapis,https://github.com/googleapis,7
gothinkster,https://github.com/gothinkster,7
ianstormtaylor,https://github.com/ianstormtaylor,7
imagemin,https://github.com/imagemin,7
jackfranklin,https://github.com/jackfranklin,7
jorgebucaran,https://github.com/jorgebucaran,7
joyent,https://github.com/joyent,7
lrsjng,https://github.com/lrsjng,7
markdalgleish,https://github.com/markdalgleish,7
medikoo,https://github.com/medikoo,7
mhart,https://github.com/mhart,7
mixu,https://github.com/mixu,7
mjackson,https://github.com/mjackson,7
montagejs,https://github.com/montagejs,7
nodeca,https://github.com/nodeca,7
okfn,https://github.com/okfn,7
pluralsight-projects,https://github.com/pluralsight-projects,7
poteto,https://github.com/poteto,7
rauschma,https://github.com/rauschma,7
sachinchoolur,https://github.com/sachinchoolur,7
socketio,https://github.com/socketio,7
sonnylazuardi,https://github.com/sonnylazuardi,7
square,https://github.com/square,7
substance,https://github.com/substance,7
surmon-china,https://github.com/surmon-china,7
tylermcginnis,https://github.com/tylermcginnis,7
umijs,https://github.com/umijs,7
xulayen,https://github.com/xulayen,7
ForbesLindesay,https://github.com/ForbesLindesay,6
FrontendMasters,https://github.com/FrontendMasters,6
GeekyAnts,https://github.com/GeekyAnts,6
DrBoolean,https://github.com/DrBoolean,6
CartoDB,https://github.com/CartoDB,6
Azure,https://github.com/Azure,6
HubSpot,https://github.com/HubSpot,6
IBM,https://github.com/IBM,6
Kagami,https://github.com/Kagami,6
Kong,https://github.com/Kong,6
MetaMask,https://github.com/MetaMask,6
PolymerElements,https://github.com/PolymerElements,6
QingWei-Li,https://github.com/QingWei-Li,6
SAP,https://github.com/SAP,6
SamVerschueren,https://github.com/SamVerschueren,6
SaraVieira,https://github.com/SaraVieira,6
SheetJS,https://github.com/SheetJS,6
Swizec,https://github.com/Swizec,6
TeamWertarbyte,https://github.com/TeamWertarbyte,6
TryGhost,https://github.com/TryGhost,6
TrySound,https://github.com/TrySound,6
YahooArchive,https://github.com/YahooArchive,6
adobe,https://github.com/adobe,6
adonisjs,https://github.com/adonisjs,6
andrewrk,https://github.com/andrewrk,6
apollographql,https://github.com/apollographql,6
appium,https://github.com/appium,6
aurelia,https://github.com/aurelia,6
aws,https://github.com/aws,6
awslabs,https://github.com/awslabs,6
axemclion,https://github.com/axemclion,6
azat-co,https://github.com/azat-co,6
bcoe,https://github.com/bcoe,6
beakerbrowser,https://github.com/beakerbrowser,6
bitovi,https://github.com/bitovi,6
blockchain,https://github.com/blockchain,6
bramstein,https://github.com/bramstein,6
c8r,https://github.com/c8r,6
caolan,https://github.com/caolan,6
chjj,https://github.com/chjj,6
chrisvfritz,https://github.com/chrisvfritz,6
codeschool-projects,https://github.com/codeschool-projects,6
contentful,https://github.com/contentful,6
cornflourblue,https://github.com/cornflourblue,6
coryhouse,https://github.com/coryhouse,6
css-modules,https://github.com/css-modules,6
cypress-io,https://github.com/cypress-io,6
danielstjules,https://github.com/danielstjules,6
datproject,https://github.com/datproject,6
davidmarkclements,https://github.com/davidmarkclements,6
domenic,https://github.com/domenic,6
drcmda,https://github.com/drcmda,6
elastic,https://github.com/elastic,6
electerious,https://github.com/electerious,6
eslint,https://github.com/eslint,6
faceyspacey,https://github.com/faceyspacey,6
fent,https://github.com/fent,6
floatdrop,https://github.com/floatdrop,6
ga-wdi-exercises,https://github.com/ga-wdi-exercises,6
googlecreativelab,https://github.com/googlecreativelab,6
graphql,https://github.com/graphql,6
h5bp,https://github.com/h5bp,6
hilongjw,https://github.com/hilongjw,6
humanmade,https://github.com/humanmade,6
hunterloftis,https://github.com/hunterloftis,6
hyperledger,https://github.com/hyperledger,6
infinitered,https://github.com/infinitered,6
jamesknelson,https://github.com/jamesknelson,6
jaredpalmer,https://github.com/jaredpalmer,6
jcoglan,https://github.com/jcoglan,6
jeremyckahn,https://github.com/jeremyckahn,6
jondot,https://github.com/jondot,6
jquense,https://github.com/jquense,6
kamranahmedse,https://github.com/kamranahmedse,6
kimmobrunfeldt,https://github.com/kimmobrunfeldt,6
kitze,https://github.com/kitze,6
maierfelix,https://github.com/maierfelix,6
mbasso,https://github.com/mbasso,6
meteor,https://github.com/meteor,6
michaelbromley,https://github.com/michaelbromley,6
mikaelbr,https://github.com/mikaelbr,6
millermedeiros,https://github.com/millermedeiros,6
mohebifar,https://github.com/mohebifar,6
muaz-khan,https://github.com/muaz-khan,6
nearform,https://github.com/nearform,6
nhn,https://github.com/nhn,6
niftylettuce,https://github.com/niftylettuce,6
nuxt,https://github.com/nuxt,6
nytimes,https://github.com/nytimes,6
particle-iot,https://github.com/particle-iot,6
powmedia,https://github.com/powmedia,6
probot,https://github.com/probot,6
pugjs,https://github.com/pugjs,6
pusher,https://github.com/pusher,6
raphamorim,https://github.com/raphamorim,6
relay-tools,https://github.com/relay-tools,6
rwieruch,https://github.com/rwieruch,6
ryanseddon,https://github.com/ryanseddon,6
s-yadav,https://github.com/s-yadav,6
sequelize,https://github.com/sequelize,6
sheerun,https://github.com/sheerun,6
skidding,https://github.com/skidding,6
souporserious,https://github.com/souporserious,6
standard,https://github.com/standard,6
steelbrain,https://github.com/steelbrain,6
storybook-eol,https://github.com/storybook-eol,6
sveltejs,https://github.com/sveltejs,6
svhawks,https://github.com/svhawks,6
taion,https://github.com/taion,6
tbranyen,https://github.com/tbranyen,6
terkelg,https://github.com/terkelg,6
timoxley,https://github.com/timoxley,6
transitive-bullshit,https://github.com/transitive-bullshit,6
twitter,https://github.com/twitter,6
